ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
2018-10-22	3.4.8	Standard gaze following	New test	02	Rec 03	2018-10-22	73210	1920 x 1080		I-VT filter														18	10:27:37.864	1540196885123870															0			Unclassified	4						1	875	-94	959	-84	917	-89			234,21	315,29	256,58	312,47	245,40	313,88	210,24	204,50	594,24	256,09	203,27	595,01					630,40	630,40	4,61	4,86	0	0				
2018-10-22	3.4.8	Standard gaze following	New test	02	Rec 03	2018-10-22	73210	1920 x 1080		I-VT filter														26	10:27:37.873	1540196885132225															0	1		Fixation	542						2	882	-96	959	-88	920	-92			235,91	315,63	256,67	313,55	246,29	314,59	210,65	204,61	594,05	256,49	203,41	594,88					630,23	630,23	4,66	4,86	0	0				
2018-10-22	3.4.8	Standard gaze following	New test	02	Rec 03	2018-10-22	73210	1920 x 1080		I-VT filter														34	10:27:37.881	1540196885140502															0	1		Fixation	542						3	866	-99	962	-91	914	-95			231,74	316,48	257,41	314,36	244,58	315,42	211,06	204,79	593,98	256,90	203,54	594,75					630,21	630,21	4,58	4,86	0	0				
2018-10-22	3.4.8	Standard gaze following	New test	02	Rec 03	2018-10-22	73210	1920 x 1080		I-VT filter														43	10:27:37.889	1540196885148812															0	1		Fixation	542						4	872	-101	962	-93	917	-97			233,25	316,93	257,49	314,95	245,37	315,94	211,48	204,91	593,80	257,32	203,67	594,62					630,06	630,06	4,63	4,85	0	0				
2018-10-22	3.4.8	Standard gaze following	New test	02	Rec 03	2018-10-22	73210	1920 x 1080		I-VT filter														51	10:27:37.898	1540196885157184															0	1		Fixation	542						5	877	-115	969	-99	923	-107			234,71	320,89	259,37	316,49	247,04	318,69	211,91	205,08	593,72	257,75	203,81	594,52					630,02	630,02	4,62	4,86	0	0				
2018-10-22	3.4.8	Standard gaze following	New test	02	Rec 03	2018-10-22	73210	1920 x 1080		I-VT filter														59	10:27:37.906	1540196885165538															0	1		Fixation	542						6	879	-118	954	-97	916	-107			235,28	321,50	255,34	315,86	245,31	318,68	212,35	205,22	593,55	258,19	203,95	594,39					629,89	629,89	4,58	4,89	0	0				
2018-10-22	3.4.8	Standard gaze following	New test	02	Rec 03	2018-10-22	73210	1920 x 1080		I-VT filter														68	10:27:37.914	1540196885173829															0	1		Fixation	542						7	872	-118	953	-103	912	-110			233,32	321,55	255,03	317,67	244,18	319,61	212,79	205,40	593,46	258,63	204,07	594,21					629,84	629,84	4,60	4,85	0	0				
2018-10-22	3.4.8	Standard gaze following	New test	02	Rec 03	2018-10-22	73210	1920 x 1080		I-VT filter														76	10:27:37.923	1540196885182151															0	1		Fixation	542						8	871	-114	956	-91	913	-102			233,13	320,48	255,76	314,48	244,44	317,48	213,24	205,56	593,32	259,08	204,24	594,13					629,74	629,74	4,61	4,87	0	0				
2018-10-22	3.4.8	Standard gaze following	New test	02	Rec 03	2018-10-22	73210	1920 x 1080		I-VT filter														84	10:27:37.931	1540196885190493															0	1		Fixation	542						9	887	-113	960	-93	923	-103			237,37	320,34	256,87	315,00	247,12	317,67	213,70	205,73	593,16	259,54	204,39	593,96					629,62	629,62	4,59	4,86	0	0				
2018-10-22	3.4.8	Standard gaze following	New test	02	Rec 03	2018-10-22	73210	1920 x 1080		I-VT filter														93	10:27:37.939	1540196885198839															0	1		Fixation	542						10	878	-116	960	-100	919	-108			234,91	320,99	256,78	316,91	245,85	318,95	214,17	205,89	592,98	260,01	204,53	593,78					629,49	629,49	4,60	4,87	0	0				
