ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														15	14:27:31.953	1540819692950204															0			Unclassified	4						1	1358	1511	1297	1326	1327	1418			363,50	-115,68	347,00	-65,92	355,25	-90,80	219,12	191,06	534,30	266,30	192,41	537,36					569,46	569,46	4,57	4,66	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														23	14:27:31.961	1540819692958567															0			Unclassified	33						2	1342	1512	1287	1319	1314	1415			359,04	-115,89	344,33	-64,07	351,68	-89,98	219,18	191,09	534,29	266,36	192,41	537,38					569,46	569,46	4,57	4,65	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														32	14:27:31.969	1540819692966826															0			Unclassified	33						3	1350	1522	1292	1321	1321	1421			361,14	-118,69	345,79	-64,59	353,46	-91,64	219,23	191,12	534,30	266,41	192,40	537,40					569,47	569,47	4,56	4,65	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														40	14:27:31.978	1540819692975181															0			Unclassified	33						4	1341	1514	1287	1318	1314	1416			358,87	-116,48	344,36	-63,79	351,62	-90,14	219,29	191,14	534,29	266,46	192,39	537,43					569,48	569,48	4,55	4,65	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														48	14:27:31.986	1540819692983524															0			Unclassified	33						5	1356	1519	1283	1315	1319	1417			362,79	-117,76	343,46	-63,05	353,12	-90,41	219,34	191,16	534,28	266,51	192,39	537,45					569,47	569,47	4,56	4,68	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														57	14:27:31.994	1540819692991887															0		1	Saccade	58						6	1354	1526	1287	1311	1320	1418			362,24	-119,61	344,45	-62,08	353,34	-90,85	219,36	191,18	534,27	266,55	192,38	537,49					569,47	569,47	4,55	4,69	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														65	14:27:32.003	1540819693000241															0		1	Saccade	58						7	1271	1483	1246	1290	1258	1386			340,08	-108,17	333,34	-56,51	336,71	-82,34	219,29	191,35	534,46	266,48	192,40	537,45					569,71	569,71	4,54	4,67	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														73	14:27:32.011	1540819693008517															0		1	Saccade	58						8	1150	1425	1144	1234	1147	1329			307,67	-92,65	306,23	-41,46	306,95	-67,06	219,15	191,49	534,55	266,32	192,41	537,40					569,86	569,86	4,55	4,76	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														82	14:27:32.019	1540819693016840															0		1	Saccade	58						9	1099	1398	1092	1238	1095	1318			294,07	-85,43	292,21	-42,43	293,14	-63,93	219,02	191,58	534,57	266,14	192,40	537,28					569,92	569,92	4,52	4,66	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														90	14:27:32.028	1540819693025186															0		1	Saccade	58						10	1022	1337	1029	1189	1025	1263			273,46	-68,88	275,40	-29,24	274,43	-49,06	218,45	193,02	537,86	265,97	192,43	537,33					573,55	573,55	4,55	4,70	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														98	14:27:32.036	1540819693033552															0		1	Saccade	58						11	974	1309	992	1190	983	1249			260,66	-61,56	265,53	-29,53	263,09	-45,54	218,25	193,44	538,86	265,90	192,37	537,28					574,64	574,64	4,57	4,68	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														107	14:27:32.044	1540819693041899															0		1	Saccade	58						12	999	1301	1002	1184	1000	1242			267,26	-59,45	268,07	-28,04	267,66	-43,74	218,26	193,32	538,71	265,89	192,29	537,25					574,45	574,45	4,57	4,69	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														115	14:27:32.053	1540819693050182															0	1		Fixation	117						13	997	1358	991	1182	994	1270			266,89	-74,73	265,19	-27,40	266,04	-51,06	218,81	191,55	534,61	265,90	192,23	537,23					569,96	569,96	4,52	4,69	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														123	14:27:32.061	1540819693058513															0	1		Fixation	117						14	978	1317	990	1177	984	1247			261,80	-63,72	264,81	-26,13	263,30	-44,92	218,09	193,71	539,75	265,90	192,15	537,17					575,57	575,57	4,65	4,76	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														132	14:27:32.069	1540819693066872															0	1		Fixation	117						15	980	1351	989	1179	984	1265			262,24	-72,80	264,73	-26,71	263,48	-49,75	218,77	191,46	534,55	265,89	192,11	537,18					569,88	569,88	4,55	4,72	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														140	14:27:32.078	1540819693075223															0	1		Fixation	117						16	983	1355	990	1174	986	1264			263,06	-73,75	264,91	-25,23	263,99	-49,49	218,74	191,43	534,57	265,88	192,05	537,15					569,88	569,88	4,54	4,75	0	0				
2018-10-29	3.4.8	Standard gaze following	New test	16	Rec 15	2018-10-29	75637	1920 x 1080		I-VT filter														148	14:27:32.086	1540819693083494															0	1		Fixation	117						17	977	1300	982	1174	979	1237			261,42	-59,19	262,77	-25,14	262,10	-42,16	218,04	193,50	539,52	265,87	191,98	537,13					575,28	575,28	4,68	4,73	0	0				
