ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														14	09:42:05.848	1542357821028594															0			Unclassified	4						1	1347	646	1358	630	1352	638			360,36	116,50	363,39	120,70	361,87	118,60	230,37	159,00	507,79	276,10	163,22	514,77					532,17	532,17	3,22	3,26	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														23	09:42:05.856	1542357821036954															0			Unclassified	50						2	1350	638	1353	649	1351	643			361,25	118,78	362,14	115,74	361,70	117,26	230,66	159,04	507,85	276,38	163,23	514,99					532,22	532,22	3,19	3,29	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														31	09:42:05.864	1542357821045222															0			Unclassified	50						3	1343	650	1357	631	1350	640			359,50	115,45	363,02	120,47	361,26	117,96	230,97	159,07	507,88	276,66	163,24	515,22					532,24	532,24	3,23	3,28	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														39	09:42:05.873	1542357821053537															0			Unclassified	50						4	1339	659	1358	629	1348	644			358,35	113,00	363,45	121,02	360,90	117,01	231,30	159,10	507,92	276,96	163,24	515,43					532,28	532,28	3,24	3,30	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														48	09:42:05.881	1542357821061915															0			Unclassified	50						5	1338	640	1357	643	1347	641			358,09	118,24	363,16	117,36	360,62	117,80	231,64	159,14	507,94	277,27	163,24	515,62					532,29	532,29	3,23	3,27	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														56	09:42:05.889	1542357821070263															0			Unclassified	50						6	1338	652	1353	643	1345	647			358,11	114,78	361,99	117,39	360,05	116,09	232,00	159,15	507,92	277,60	163,25	515,83					532,27	532,27	3,25	3,26	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														64	09:42:05.898	1542357821078624															0			Unclassified	50						7	1348	639	1355	638	1351	638			360,71	118,44	362,50	118,78	361,61	118,61	232,36	159,19	507,92	277,93	163,27	516,04					532,26	532,26	3,20	3,27	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														73	09:42:05.906	1542357821086894															0		1	Saccade	17						8	1347	637	1362	631	1354	634			360,41	118,95	364,46	120,56	362,43	119,76	232,74	159,23	507,89	278,27	163,29	516,19					532,23	532,23	3,23	3,28	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														81	09:42:05.914	1542357821095219															0		1	Saccade	17						9	1407	626	1416	645	1411	635			376,54	121,75	378,99	116,81	377,77	119,28	233,21	159,26	507,83	278,71	163,36	516,44					532,16	532,16	3,23	3,35	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														89	09:42:05.923	1542357821103579															0	1		Fixation	658						10	1432	639	1459	639	1445	639			383,11	118,40	390,46	118,34	386,79	118,37	233,63	159,29	507,76	279,10	163,38	516,56					532,09	532,09	3,21	3,32	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														98	09:42:05.931	1542357821111938															0	1		Fixation	658						11	1405	644	1432	638	1418	641			375,96	117,18	383,26	118,70	379,61	117,94	234,01	159,32	507,66	279,43	163,39	516,64					531,99	531,99	3,25	3,30	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														106	09:42:05.939	1542357821120215															0	1		Fixation	658						12	1414	648	1425	642	1419	645			378,44	116,03	381,24	117,58	379,84	116,81	234,36	159,35	507,55	279,74	163,41	516,71					531,89	531,89	3,28	3,35	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														114	09:42:05.948	1542357821128532															0	1		Fixation	658						13	1424	641	1449	641	1436	641			381,05	117,92	387,64	117,94	384,34	117,93	234,71	159,37	507,43	280,05	163,43	516,77					531,76	531,76	3,28	3,36	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														123	09:42:05.956	1542357821136890															0	1		Fixation	658						14	1430	639	1442	634	1436	636			382,61	118,28	385,81	119,65	384,21	118,96	235,05	159,39	507,30	280,36	163,45	516,81					531,64	531,64	3,27	3,35	0	0				
2018-11-16	3.4.8	Standard gaze following	New test	36	Rec 35	2018-11-16	68429	1920 x 1080		I-VT filter														131	09:42:05.964	1542357821145249															0	1		Fixation	658						15	1426	630	1428	656	1427	643			381,54	120,75	382,14	113,84	381,84	117,29	235,38	159,41	507,17	280,66	163,46	516,83					531,51	531,51	3,29	3,38	0	0				
